Ticker,Metric,App Value,Reference Value,Source,Formula,Period,Difference,Status
RELIANCE.NS,Quarterly Revenue,"309,468.00 Cr","309,468.00 Cr",NSE XBRL / Official Filings,Directly Reported Filing Line Item,2026-06-30,0.0000,OK
RELIANCE.NS,Quarterly PAT,"23,196.00 Cr","23,196.00 Cr",NSE XBRL / Official Filings,Directly Reported Filing Line Item,2026-06-30,0.0000,OK
RELIANCE.NS,Quarterly EPS,15.48,15.48,NSE XBRL / Official Filings,Directly Reported Quarterly EPS,2026-06-30,0.0000,OK
RELIANCE.NS,TTM Revenue,"1,123,055.00 Cr","1,123,055.00 Cr",Official Filings (4-Qtr Sum),Sum of 4 Distinct Quarterly Revenues,TTM,0.0000,OK
RELIANCE.NS,TTM PAT,"88,167.00 Cr","88,167.00 Cr",Official Filings (4-Qtr Sum),Sum of 4 Distinct Quarterly PATs,TTM,0.0000,OK
RELIANCE.NS,TTM EPS,55.22,55.22,Official Filings (4-Qtr Sum),Sum of 4 Distinct Quarterly EPS,TTM,0.0000,OK
RELIANCE.NS,Intraday Session VWAP,"₹1,328.99","₹1,328.99",5m Intraday Feed (yfinance),Sum(P_typical * Vol) / Sum(Vol),2026-08-07,0.0000,OK
RELIANCE.NS,Promoter Holding %,50.48%,50.48%,Official Shareholding Pattern Filing,Promoter & Promoter Group Shares / Total Shares,Jun 2026,0.0000,OK
RELIANCE.NS,FII Holding %,17.19%,17.19%,Official Shareholding Pattern Filing,Foreign Institutional Shares / Total Shares,Jun 2026,0.0000,OK
RELIANCE.NS,DII Holding %,21.10%,21.10%,Official Shareholding Pattern Filing,Domestic Institutional Shares / Total Shares,Jun 2026,0.0000,OK
RELIANCE.NS,P/E Ratio,24.17,24.15,Price + Official TTM EPS,Current Price / TTM EPS,TTM,0.0175,OK
RELIANCE.NS,PEG Ratio,N/A,N/A,P/E + YoY Growth,P/E / EPS Growth %,TTM,N/A,N/A
RELIANCE.NS,EV / EBITDA,10.60,10.60,EV + TTM EBIT,(Market Cap + Debt - Cash) / TTM EBITDA,TTM,0.0000,OK
RELIANCE.NS,Sector Median P/E,41027842.35,41027842.35,Sector Peer Engine,Median P/E of Sector Constituents,2026-06-30,0.0000,OK
RELIANCE.NS,Sector Breadth (> 200 EMA),75.00%,75.00%,Sector Peer Engine,% of Sector Stocks > 200 EMA,Live,0.0000,OK
TCS.NS,Quarterly Revenue,"72,275.00 Cr","72,275.00 Cr",NSE XBRL / Official Filings,Directly Reported Filing Line Item,2026-06-30,0.0000,OK
TCS.NS,Quarterly PAT,"13,420.00 Cr","13,420.00 Cr",NSE XBRL / Official Filings,Directly Reported Filing Line Item,2026-06-30,0.0000,OK
TCS.NS,Quarterly EPS,36.90,36.90,NSE XBRL / Official Filings,Directly Reported Quarterly EPS,2026-06-30,0.0000,OK
TCS.NS,TTM Revenue,"275,859.00 Cr","275,859.00 Cr",Official Filings (4-Qtr Sum),Sum of 4 Distinct Quarterly Revenues,TTM,0.0000,OK
TCS.NS,TTM PAT,"50,055.00 Cr","50,055.00 Cr",Official Filings (4-Qtr Sum),Sum of 4 Distinct Quarterly PATs,TTM,0.0000,OK
TCS.NS,TTM EPS,137.64,137.64,Official Filings (4-Qtr Sum),Sum of 4 Distinct Quarterly EPS,TTM,0.0000,OK
TCS.NS,Intraday Session VWAP,"₹2,437.77","₹2,437.77",5m Intraday Feed (yfinance),Sum(P_typical * Vol) / Sum(Vol),2026-08-07,0.0000,OK
TCS.NS,Promoter Holding %,71.77%,71.77%,Official Shareholding Pattern Filing,Promoter & Promoter Group Shares / Total Shares,Jun 2026,0.0000,OK
